temp,Ct
61,0.998
62,0.996
63,0.994
64,0.991
65,0.989
66,0.987
67,0.985
68,0.983
69,0.981
70,0.979
71,0.977
72,0.975
73,0.973
74,0.971
75,0.969
76,0.967
77,0.965
78,0.963
79,0.961
80,0.959
81,0.957
82,0.955
83,0.953
84,0.951
85,0.949
86,0.947
87,0.945
88,0.943
89,0.941
90,0.939
91,0.938
92,0.936
93,0.934
94,0.932
95,0.93
96,0.928
97,0.926
98,0.924
99,0.923
100,0.921
101,0.919
102,0.917
103,0.915
104,0.914
105,0.912
106,0.91
107,0.908
108,0.906
109,0.905
110,0.903
111,0.901
112,0.899
113,0.898
114,0.896
115,0.894
116,0.893
117,0.891
118,0.889
119,0.887
120,0.886
121,0.884
122,0.882
123,0.881
124,0.879
125,0.877
126,0.876
127,0.874
128,0.872
129,0.871
130,0.869
131,0.868
132,0.866
133,0.864
134,0.863
135,0.861
136,0.86
137,0.858
138,0.856
139,0.855
140,0.853
141,0.852
142,0.85
143,0.849
144,0.847
145,0.845
146,0.844
147,0.842
148,0.841
149,0.839
150,0.838
151,0.836
152,0.835
153,0.833
154,0.832
155,0.83
156,0.829
157,0.827
158,0.826
159,0.825
160,0.823
161,0.822
162,0.82
163,0.819
164,0.817
165,0.816
166,0.814
167,0.813
168,0.812
169,0.81
170,0.809
171,0.807
172,0.806
173,0.805
174,0.803
175,0.802
176,0.8
177,0.799
178,0.798
179,0.796
180,0.795
181,0.794
182,0.792
183,0.791
184,0.79
185,0.788
186,0.787
187,0.786
188,0.784
189,0.783
190,0.782
191,0.78
192,0.779
193,0.778
194,0.776
195,0.775
196,0.774
197,0.772
198,0.771
199,0.77
200,0.769
201,0.767
202,0.766
203,0.765
204,0.764
205,0.762
206,0.761
207,0.76
208,0.759
209,0.757
210,0.756
211,0.755
212,0.754
213,0.752
214,0.751
215,0.75
216,0.749
217,0.748
218,0.746
219,0.746
220,0.744
221,0.743
222,0.742
223,0.74
224,0.739
225,0.738
226,0.737
227,0.736
228,0.735
229,0.733
230,0.732
231,0.731
232,0.73
233,0.729
234,0.728
235,0.727
236,0.725
237,0.724
238,0.723
239,0.722
240,0.721
241,0.72
242,0.719
243,0.718
244,0.717
245,0.715
246,0.714
247,0.713
248,0.712
249,0.711
250,0.71
251,0.709
252,0.708
253,0.707
254,0.706
255,0.705
256,0.704
257,0.702
258,0.701
259,0.7
260,0.699
261,0.698
262,0.697
263,0.696
264,0.695
265,0.694
266,0.693
267,0.692
268,0.691
269,0.69
270,0.689
271,0.688
272,0.687
273,0.686
274,0.685
275,0.684
276,0.683
277,0.682
278,0.681
279,0.68
280,0.679
281,0.678
282,0.677
283,0.676
284,0.675
285,0.674
286,0.673
287,0.672
288,0.671
289,0.67
290,0.669
291,0.668
292,0.667
293,0.666
294,0.665
295,0.664
296,0.663
297,0.662
298,0.662
299,0.661
300,0.66
